Time, xActual, yActual, angleActual, xTarget, yTarget, angleTarget, XTE, lagE, angleE, pLeft, pRight
191.375173, 0.0, 0.0, 0.0, 1.4697198494407554E-4, 2.613750909666563E-6, 3.4761565608097065E-4, 0.0, 0.0, 0.0, 0.005449318642299521, 0.059975691585328804
191.382277, 0.0, 0.0, 0.0, 8.964974559119714E-4, 1.594331764516412E-5, 0.00212038063873426, 2.5626609898051818E-6, 1.4697288464499388E-4, 3.4761565608097065E-4, 0.0054199210379142215, 0.060299034959004086
191.386633, 0.0, 0.0, 0.0, 0.0013560882430090984, 2.4116683734671434E-5, 0.0032073970047874797, 1.404236738072093E-5, 8.965292464568663E-4, 0.00212038063873426, 0.005271615202008539, 0.06194645351853352
191.392951, 7.065E-5, 0.0, 2.0046818472015321E-4, 0.002022684797850389, 3.5971441988497774E-5, 0.004784019915886093, 1.9993655984377373E-5, 0.00128550898275549, 0.0030069288200673264, 0.005211369559036973, 0.06278465863410233
191.39829, 7.065E-5, 0.0, 2.0046818472015321E-4, 0.002585989483871329, 4.5989256853466166E-5, 0.006116338643697816, 2.663249262513578E-5, 0.001952184547370999, 0.00458355173116594, 0.005083094831462413, 0.06424628449090791
191.403571, 7.065E-5, 0.0, 2.0046818472015321E-4, 0.0031431747333335834, 5.589824361164945E-5, 0.00743418378353287, 3.06038244713082E-5, 0.002515573719213124, 0.005915870458977663, 0.004976353307552507, 0.06547980435850206
191.408839, 7.065E-5, 0.0, 2.0046818472015321E-4, 0.003698988384946839, 6.578283786314597E-5, 0.008748784843305046, 3.30551958037083E-5, 0.0030728553829648176, 0.007233715598812717, 0.004872261030054274, 0.06669845996350368
191.414526, 7.065E-5, 0.0, 2.0046818472015321E-4, 0.004299009690322894, 7.645362136887829E-5, 0.010167945098983864, 3.403717340763327E-5, 0.003628775039632849, 0.008548316658584893, 0.00476989817923229, 0.06791266212766173
191.419852, 7.065E-5, 0.0, 2.0046818472015321E-4, 0.0048609427784948355, 8.644704372715991E-5, 0.011497019746732706, 3.345668088263601E-5, 0.004228918476096725, 0.009967476914263711, 0.004661041980381753, 0.06922180519944002
191.42517, 7.065E-5, 0.0, 2.0046818472015321E-4, 0.005422031806453854, 9.642545531212863E-5, 0.012824098037524143, 3.1368453062376354E-5, 0.0047909700495016045, 0.011296551562012553, 0.004560644457732473, 0.07044630586889905
191.429436, 1.412999985803768E-4, 1.4163077155615729E-8, 4.0093636944030643E-4, 0.005872126916131606, 1.044299502014393E-4, 0.013888655387749787, 2.8684598328664892E-5, 0.005281533939848898, 0.012423161668083837, 0.004490587149777833, 0.07149749095754829
191.434755, 1.412999985803768E-4, 1.4163077155615729E-8, 4.0093636944030643E-4, 0.006433321451614241, 1.144102381330188E-4, 0.015215983223153803, 2.4814795348999643E-5, 0.005731724351489899, 0.013487719018309481, 0.004412368689285677, 0.07247609024132246
191.440098, 1.412999985803768E-4, 1.4163077155615729E-8, 4.0093636944030643E-4, 0.0069970481677446425, 1.2443555838469696E-4, 0.016549300129451324, 1.8647233916597626E-5, 0.006293033664942039, 0.014815046853713498, 0.0043161816464682146, 0.0736948959110442
191.444395, 1.412999985803768E-4, 1.4163077155615729E-8, 4.0093636944030643E-4, 0.007450414010753469, 1.3249822002070174E-4, 0.017621593362901106, 1.0951702296913777E-5, 0.006856868359741659, 0.01614836376001102, 0.00422105341973876, 0.07491769352737289
191.449659, 1.412999985803768E-4, 1.4163077155615729E-8, 4.0093636944030643E-4, 0.008005805632260263, 1.423753088855418E-4, 0.018935196244194576, 3.6719186452839603E-6, 0.007310313685834742, 0.0172206569934608, 0.004145631912758574, 0.07590000568653923
191.455003, 1.412999985803768E-4, 1.4163077155615729E-8, 4.0093636944030643E-4, 0.008569637855917278, 1.5240250548388407E-4, 0.02026876269511177, -6.571433564103187E-6, 0.007865791274517742, 0.01853425987475427, 0.0040545514130042315, 0.07710204136365958
191.460343, 1.412999985803768E-4, 1.4163077155615729E-8, 4.0093636944030643E-4, 0.009133048049464835, 1.6242219669551658E-4, 0.02160133096754317, -1.8463242061062034E-5, 0.008429695151843419, 0.019867826325671464, 0.00396356387336827, 0.0783208366579469
191.465635, 1.412999985803768E-4, 1.4163077155615729E-8, 4.0093636944030643E-4, 0.009691393881722856, 1.723518232670584E-4, 0.022921921098201754, -3.184847662398774E-5, 0.008993158235820437, 0.021200394598102863, 0.0038741280556925176, 0.0795371986435767
191.470916, 1.412999985803768E-4, 1.4163077155615729E-8, 4.0093636944030643E-4, 0.01024857913118511, 1.8226081002524169E-4, 0.02423976623803681, -4.6594941710940545E-5, 0.009551535078580933, 0.022520984728761448, 0.0037869562982106655, 0.08074112408657952
191.475556, 1.412999985803768E-4, 1.4163077155615729E-8, 4.0093636944030643E-4, 0.010738134055918974, 1.909670585687432E-4, 0.0253976532762624, -6.278098350162472E-5, 0.010108727113381857, 0.023838829868596503, 0.003701411804884751, 0.0819410526495073
191.480884, 1.412999985803768E-4, 1.4163077155615729E-8, 4.0093636944030643E-4, 0.011300278159144146, 2.0096423362035303E-4, 0.026727227013250594, -7.821447173716109E-5, 0.010598265779998098, 0.024996716906822095, 0.0036274404406237276, 0.08299410134700079
191.486181, 1.412999985803768E-4, 1.4163077155615729E-8, 4.0093636944030643E-4, 0.011859151529035244, 2.109032419252154E-4, 0.028049064867007555, -9.733473408199758E-5, 0.011160362918307435, 0.02632629064381029, 0.0035438709727838094, 0.08420186509145938
