Time, xActual, yActual, angleActual, xTarget, yTarget, angleTarget, XTE, lagE, angleE, pLeft, pRight,pAverage,velocity,classification
261.374241,-2.38333,0.42835,1.570796327,-2.383625976,0.461856643,1.582093329,-6.86E-05,0.032467025,0.010946085,0.072415212,0.096956152,0.084685682,0,0
261.378564,-2.38333,0.42835,1.570796327,-2.383633444,0.462702083,1.582378375,-8.26E-05,0.033507848,0.011297002,0.073294535,0.098158477,0.085726506,0,0
261.383825,-2.38333,0.42835,1.570796327,-2.383642532,0.463730965,1.58272527,-9.44E-05,0.034353293,0.011582048,0.074009332,0.099134569,0.086571951,0,0
261.389067,-2.38333,0.42835,1.570796327,-2.383651588,0.464756132,1.583070912,-1.10E-04,0.035382176,0.011928943,0.07487987,0.100321797,0.087600834,0,0
261.394366,-2.38333,0.42835,1.570796327,-2.383660742,0.465792446,1.583420313,-1.25E-04,0.036407337,0.012274586,0.075747968,0.101504021,0.088625994,0,0
261.39966,-2.38333,0.42835,1.570796327,-2.383669887,0.466827782,1.583769384,-1.42E-04,0.037443638,0.012623986,0.076626218,0.102698373,0.089662296,0,0
261.404917,-2.38333,0.42835,1.570796327,-2.383678969,0.467855883,1.584116015,-1.59E-04,0.038478954,0.012973057,0.077504355,0.103890868,0.090697612,0,0
261.410252,-2.38333,0.42835,1.570796327,-2.383688185,0.468899237,1.58446779,-1.77E-04,0.039507026,0.013319689,0.078377063,0.105074305,0.091725684,0,0
261.414564,-2.38333,0.42835,1.570796327,-2.383695634,0.469742526,1.58475211,-1.96E-04,0.040550345,0.013671463,0.07926344,0.106274565,0.092769002,0,0
261.419895,-2.38333,0.42835,1.570796327,-2.383704844,0.470785098,1.585103621,-2.12E-04,0.041393598,0.013955784,0.079980382,0.107244129,0.093612255,0,0
261.425157,-2.38333,0.42835,1.570796327,-2.383713934,0.471814176,1.585450582,-2.32E-04,0.042436118,0.014307294,0.080867404,0.108442147,0.094654776,0,0
261.429471,-2.38333,0.42835,1.570796327,-2.383721386,0.472657856,1.585735035,-2.53E-04,0.043465136,0.014654255,0.081743656,0.109623931,0.095683793,0,0
261.434774,-2.38333,0.42835,1.570796327,-2.383730547,0.473694953,1.586084699,-2.71E-04,0.044308759,0.014938708,0.082462568,0.110592265,0.096527417,0,0
261.44006,-2.38333,0.42835,1.570796327,-2.383739679,0.474728724,1.586433243,-2.93E-04,0.045345777,0.015288372,0.083346942,0.111781927,0.097564435,0,0
261.445321,-2.38333,0.42835,1.570796327,-2.383748768,0.475757607,1.586780138,-3.16E-04,0.04637946,0.015636916,0.084229192,0.112967044,0.098598118,0,0
261.450562,-2.38333,0.42835,1.570796327,-2.383757821,0.476782578,1.587125714,-3.39E-04,0.047408244,0.015983811,0.085107975,0.114145829,0.099626902,0,0
261.455862,-2.38333,0.42835,1.570796327,-2.383766977,0.477819088,1.587475181,-3.63E-04,0.048433107,0.016329387,0.085984116,0.115319413,0.100651764,0,0
261.46117,-2.38333,0.42835,1.570796327,-2.383776147,0.478857162,1.587825175,-3.88E-04,0.049469495,0.016678854,0.086870829,0.116505476,0.101688153,0,0
261.465439,-2.38333,0.42835,1.570796327,-2.383783522,0.479692041,1.58810666,-4.14E-04,0.050507436,0.017028848,0.087759595,0.117692592,0.102726094,0,0
261.470761,-2.38333,0.42835,1.570796327,-2.383792716,0.480732853,1.588457577,-4.35E-04,0.051342199,0.017310333,0.088474911,0.118646804,0.103560857,0,0
261.476066,-2.38333,0.42835,1.570796327,-2.38380188,0.481770341,1.588807374,-4.62E-04,0.052382856,0.017661251,0.089367314,0.119835713,0.104601513,0,0
261.481356,-2.38333,0.42835,1.570796327,-2.383811019,0.482804895,1.589156181,-4.90E-04,0.053420175,0.018011047,0.090257581,0.121020085,0.105638833,0,0
261.486968,-2.38333,0.42835,1.570796327,-2.383820713,0.483902422,1.58952622,-5.19E-04,0.054454548,0.018359854,0.09114604,0.122200372,0.106673206,0,0
261.492309,-2.38333,0.42835,1.570796327,-2.38382994,0.48494695,1.58987839,-5.50E-04,0.055551868,0.018729893,0.092089353,0.1234517,0.107770526,0,0
261.497602,-2.38333,0.42835,1.570796327,-2.383839084,0.48598209,1.590227395,-5.80E-04,0.056596185,0.019082063,0.092987854,0.124641832,0.108814843,0,0
261.502929,-2.38333,0.42835,1.570796327,-2.383848286,0.487023881,1.590578642,-6.11E-04,0.057631102,0.019431068,0.093878991,0.125820529,0.10984976,0,0
